B.o.B.'s,file,Bobby,http://www.politifact.com/personalities/bob/,
Baby,Got,A,http://www.politifact.com/personalities/baby-got-pac/,
Dino,Baccari,Activist,http://www.politifact.com/personalities/dino-baccari/,"Dino Baccari lists himself as ""founder and believer"" of White Horse Vapor, which makes e-cigarettes."
Michele,Bachmann,Republican,http://www.politifact.com/personalities/michele-bachmann/,"
	Michele Bachmann, first elected to the U.S. Congress in 2006, represents the 6th Congressional District of Minnesota. She was reelected in 2008. Previously, she served in the Minnesota State Senate. Prior to that, she spent five years as a federal tax litigation attorney. Bachmann and her husband, Marcus, who have five children and have opened their home to 23 foster children, live in Stillwater, Minn., and own a mental health care practice."
Spencer,Bachus,Republican,http://www.politifact.com/personalities/spencer-bachus/,"
	Rep. Spencer Bachus has represented Alabama’s 6th district in the U.S. House since 1993. He became chairman of the Financial Services Committee following the midterm elections of 2010 after having served as the ranking member of that committee for four years prior."
Back,to,Democrat,http://www.politifact.com/personalities/back-basics/,"
	Back to Basics is a political action committee that aims to ""shed light on who are politicians are working for — themselves and their pals instead of hardworking Texas families,"" according to the group's website."
Bret,Baier,Bret,http://www.politifact.com/personalities/bret-baier/,
Charlie,Baird,Democrat,http://www.politifact.com/personalities/charlie-baird/,"
	Charlie Baird, who was on the Texas Court of Criminal Appeals for nearly a decade, later served as a Travis County state district judge. He founded the criminal law section of an Austin law firm, according to the biography posted by his 2012 campaign for Travis County district attorney."
Thurbert,Baker,Democrat,http://www.politifact.com/personalities/thurbert-baker/,Thurbert Baker is Georgia Attorney General. He is a Democratic candidate for governor.
Graham,Balch,Running,http://www.politifact.com/personalities/graham-balch/,
Lisa,Baldelli-Hunt,Democrat,http://www.politifact.com/personalities/lisa-baldelli-hunt/,Lisa Baldelli-Hunt was a state representative from District 49 before being elected mayor of Woonsocket.
Chuck,Baldwin,Chuck,http://www.politifact.com/personalities/chuck-baldwin/,
Tammy,Baldwin,Democrat,http://www.politifact.com/personalities/tammy-baldwin/,"Tammy Baldwin was elected to the U.S. Senate on Nov. 6, 2012. She represented Wisconsin’s Second Congressional District from January 1999 to January 2013. She served as a member of the Wisconsin Assembly from January 1993 to January 1999. She was a Dane County supervisor from 1986 to 1994 and briefly served on the Madison Common Council, filling a vacancy, in 1986."
Don,Balfour,State,http://www.politifact.com/personalities/don-balfour/,
Adan,Ballesteros,Democrat,http://www.politifact.com/personalities/Ballesteros/,"
	  Adan Ballesteros initially won election as constable in 2008."
Ban,the,Organization,http://www.politifact.com/personalities/ban-the-box-ri/,"
	Ban the Box RI is a group that supports legislation prohibiting employers from including questions about criminal records on job applications."
Trebor,Banstetter,None,http://www.politifact.com/personalities/trebor-banstetter/,"Delta Spokesman.
 "
Justin,Barasky,Democrat,http://www.politifact.com/personalities/justin-barasky/,"Justin Barasky is the national press secretary for the Democratic Senatorial Campaign Committee, a Washington D.C.-based organization dedicated to maintaining a Democratic majority in the U.S. Senate."
Rick,Barber,Republican,http://www.politifact.com/personalities/rick-barber/,"
	Rick Barber was a tea party-affiliated candidate who lost the Republican nomination to represent Alabama’s 2nd congressional district."
Robert,Barber,Newsmaker,http://www.politifact.com/personalities/robert-barber/,"
	Robert Barber is a retired captain with the Cranston Police Department."
Haley,Barbour,Republican,http://www.politifact.com/personalities/haley-barbour/,"
	Republican Governor of Mississippi, chairman of the Republican Governors Association and a former lobbyist. "
Peter,Barca,Democrat,http://www.politifact.com/personalities/peter-barca/,"
	 

	Peter Barca, a Kenosha native and Democrat, has served two stints in the state Assembly. He was first elected in 1984 before resigning after winning a U.S. House seat in 1993. He served one term in Congress, losing re-election to Mark Neumann. Barca served in various governmental and private-sector posts before winning election to the Assembly in 2008. He was elected Minority Leader of the Assembly Democrats in 2011.

	 "
John,Barge,Republican,http://www.politifact.com/personalities/john-barge/,"
	John Barge, a Republican, was elected by Georgia voters in 2010 as the state schools superintendent."
George,Barker,Democrat,http://www.politifact.com/personalities/george-barker/,"
	George L. Barker was first elected to the Virginia Senate in 2007.  Prior to his election, he had been active in a number of civic and community organizations.  

	Barker has two degrees from Harvard University, receiving undergraduate honors in Economics and Public Health and a master's in Health Policy and Management.  For three decades he worked for the Health Systems Agency of Northern Virginia.  He currently consults on health care issues.

	Barker and his wife reside in Clifton.  They have two grown children and were foster parents to 13 children. 
	
	 "
Roy,Barnes,Democrat,http://www.politifact.com/personalities/roy-barnes/,Roy Barnes is the former governor of Georgia.
Sharon,Barnes,Sharon,http://www.politifact.com/personalities/sharon-barnes-sutton/,
Bob,Barr,Libertarian,http://www.politifact.com/personalities/bob-barr/,"
	Former Congressman Bob Barr was the Libertarian Party's presidential nominee for 2008. Barr served in the U.S. House of Representatives from 1995 to 2003. Currently he runs Liberty Strategies LLC, a consulting firm with offices in Atlanta and Washington, D.C."
John,Barrasso,Republican,http://www.politifact.com/personalities/john-barrasso/,John Barrasso is a Republican senator from Wyoming.
Vincent,Barrella,Independent,http://www.politifact.com/personalities/vincent-barrella/,"
	Vincent Barrella is the mayor of Point Pleasant Beach."
Jimmy,Barrett,None,http://www.politifact.com/personalities/jimmy-barrett/,"
	Jimmy Barrett is a radio personality for WRVA-AM in Richmond, Va."
Tom,Barrett,Democrat,http://www.politifact.com/personalities/tom-barrett/,"
	Tom Barrett has served as mayor of Milwaukee since 2004. He previously served in the U.S. House and the state Legislature. He lost bids for governor in 2002, 2010 and in the 2012 recall race against Gov. Scott Walker"
Gonzalo,Barrientos,Barrientos,http://www.politifact.com/personalities/gonzalo-barrientos/,
John,Barrow,Democrat,http://www.politifact.com/personalities/john-barrow/,"
	U.S. Rep John Barrow represents Georgia's 12th Congressional District."
